id,directory,type,public_status,source_present,project_name,project_matches_directory,target_board,target_chip,validated_idf,host_tests,clean_build,flash,functional_test,dependencies,binary_assets,license_status,credential_status,docs_status,verification_status,evidence_date,known_issues,source_evidence,pending_confirmation
EX-011,audio_aec_test,standalone,publish-with-limitations,True,audio_aec_test,True,laiwfs300,esp32s3,5.5.4,present,historical-evidence-or-pending,see-formal-status,see-formal-status,audio_processor;io_expander;laiwfs300,0,root-license-pending,review-required,"needs-fields:dependencies,limitations,license",主机测试与构建通过,2026-08-13,New-speaker device validation is pending,requirements.md:9.3; CODE/examples/audio_aec_test/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
EX-012,audio_ns_mic2_demo,standalone,publish-with-limitations,True,audio_ns_mic2_demo,True,laiwfs300,esp32s3,5.5.4,none-found,historical-evidence-or-pending,see-formal-status,see-formal-status,,0,root-license-pending,review-required,"needs-fields:limitations,license",构建通过,2026-07-01,Requires MIC2 on TDM slot 2,requirements.md:9.3; CODE/examples/audio_ns_mic2_demo/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
EX-013,audio_mic2_debug_demo,standalone,publish-with-limitations,True,audio_mic2_debug_demo,True,laiwfs300,esp32s3,5.5.4,none-found,historical-evidence-or-pending,see-formal-status,see-formal-status,,0,root-license-pending,review-required,"needs-fields:dependencies,limitations,license",已验证,2026-07-06,Diagnostic example,requirements.md:9.3; CODE/examples/audio_mic2_debug_demo/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
EX-014,audio_dual_mic_doa_demo,standalone,publish-with-limitations,True,audio_dual_mic_doa_demo,True,laiwfs300,esp32s3,5.5.4,present,historical-evidence-or-pending,see-formal-status,see-formal-status,display_hal;esp-sr;esp_timer;io_expander;laiwfs300;launcher_return;lvgl,0,root-license-pending,review-required,needs-fields:license,部分实机验证,2026-07-21,Angle range and soft-speech behavior remain unverified,requirements.md:9.3; CODE/examples/audio_dual_mic_doa_demo/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
EX-015,korvo2_mic_test,standalone,publish-with-limitations,True,korvo2_mic_test,True,esp32-s3-korvo-2-v3,esp32s3,5.5.4,none-found,historical-evidence-or-pending,see-formal-status,see-formal-status,,0,root-license-pending,review-required,"needs-fields:dependencies,limitations,license",已验证,2026-07-06,Targets Korvo-2 rather than L-AIWFS300,requirements.md:9.3; CODE/examples/korvo2_mic_test/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
EX-016,lte_net_demo,standalone,hold,True,lte_net_demo,True,laiwfs300,esp32s3,5.5.4,present,historical-evidence-or-pending,see-formal-status,see-formal-status,display_hal;esp_timer;laiwfs300;lvgl;network_manager;nvs_flash;touch_hal,0,root-license-pending,review-required,needs-fields:license,部分模式已验证,2026-08-14,Held for credential sanitization and net_mgmt licensing,requirements.md:9.3; CODE/examples/lte_net_demo/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
EX-017,lvgl_demo,standalone,publish,True,lvgl_demo,True,laiwfs300,esp32s3,5.5.4,none-found,historical-evidence-or-pending,see-formal-status,see-formal-status,display_hal;laiwfs300;touch_hal,0,root-license-pending,review-required,"needs-fields:limitations,license",已验证,2026-07-01,LVGL v8.4.0,requirements.md:9.3; CODE/examples/lvgl_demo/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
EX-018,camera_display_demo,standalone,publish,True,camera_display_demo,True,laiwfs300,esp32s3,5.5.4,none-found,historical-evidence-or-pending,see-formal-status,see-formal-status,camera_hal;display_hal;driver;esp_driver_cam;esp_timer;laiwfs300,0,root-license-pending,no-static-hit-in-s0-scan,"needs-fields:limitations,license",已验证,2026-07-03,Camera hardware required,requirements.md:9.3; CODE/examples/camera_display_demo/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
EX-019,module_hotplug_demo,standalone,publish-with-limitations,True,module_hotplug_demo,True,laiwfs300,esp32s3,5.5.4,present,historical-evidence-or-pending,see-formal-status,see-formal-status,board_adc;bus_i2c;camera_hal;display_hal;driver;esp_adc;esp_driver_cam;esp_timer;laiwfs300;pt2466_motor;robot_motion,0,root-license-pending,review-required,needs-fields:license,已验证,2026-07-24,Only documented supported module paths are covered,requirements.md:9.3; CODE/examples/module_hotplug_demo/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
EX-020,xiaozhi_ai_demo,standalone,hold,True,xiaozhi_ai_demo,True,laiwfs300,esp32s3,5.5.4,none-found,historical-evidence-or-pending,see-formal-status,see-formal-status,esp_event;esp_netif;esp_wifi;laiwfs300;lte_hal;net_mgmt;nvs_flash;spiffs;xiaozhi_agent;xiaozhi_audio,1,pending-binary-review,review-required,needs-fields:license,部分实机验证,2026-07-21,"Held for credentials, service configuration, and binary dependency review",requirements.md:9.3; CODE/examples/xiaozhi_ai_demo/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
EX-021,salary_calculator_demo,standalone,hold,True,salary_calculator_demo,True,laiwfs300,esp32s3,5.5.4,present,historical-evidence-or-pending,see-formal-status,see-formal-status,aip8563_rtc;display_hal;esp_timer;laiwfs300;launcher_return;lvgl;nvs_flash;spiffs;touch_hal,4,pending-binary-review,review-required,"needs-fields:hardware,dependencies,limitations,license",已验证,2026-07-17,Embedded image/audio licensing is pending,requirements.md:9.3; CODE/examples/salary_calculator_demo/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
EX-022,tf_firmware_launcher_demo,standalone,hold,True,tf_firmware_launcher_demo,True,laiwfs300,esp32s3,5.5.4,none-found,blocked,see-formal-status,see-formal-status,app_update;display_hal;esp_codec_dev;esp_partition;esp_rom;esp_timer;io_expander;json;laiwfs300;launcher_return;lvgl;mbedtls;storage_hal;touch_hal,2,pending-binary-review,review-required,needs-fields:license,构建阻塞,2026-08-18,launcher_return is missing; firmware/media assets are not approved,requirements.md:9.3; CODE/examples/tf_firmware_launcher_demo/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
EX-023,audio_spatial_spectrum_demo,standalone,publish-with-limitations,True,audio_spatial_spectrum_demo,True,laiwfs300,esp32s3,5.5.4,present,historical-evidence-or-pending,see-formal-status,see-formal-status,display_hal;esp-dsp;esp-sr;esp_timer;io_expander;laiwfs300;launcher_return;lvgl;touch_hal,0,root-license-pending,review-required,"needs-fields:dependencies,license",已验证,2026-07-22,"Internal values are dBFS, not calibrated dB SPL",requirements.md:9.3; CODE/examples/audio_spatial_spectrum_demo/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
EX-024,xiaozhi_companion_robot_demo,standalone,hold,True,xiaozhi_companion_robot_demo,True,laiwfs300,esp32s3,5.5.4,none-found,historical-evidence-or-pending,see-formal-status,see-formal-status,audio_processor;board_adc;companion_agent_adapter;companion_audio;companion_controller;companion_core;companion_doa;companion_input;companion_logic;companion_motion;companion_touch_gesture;companion_ui;display_hal;esp_event;esp_netif;esp_wifi;io_expander;laiwfs300;lte_hal;lvgl;net_mgmt;network_manager;nvs_flash;pt2466_motor;robot_motion;spiffs;touch_hal;xiaozhi_agent,212,pending-binary-review,review-required,"needs-fields:limitations,license",部分链路已验证,2026-08-18,"Held for credentials, assets, service boundary, and licensing review",requirements.md:9.3; CODE/examples/xiaozhi_companion_robot_demo/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
EX-025,integrated_demo,standalone,publish-with-limitations,True,integrated_demo,True,laiwfs300,esp32s3,5.5.4,none-found,historical-evidence-or-pending,see-formal-status,see-formal-status,bringup_test;laiwfs300,0,root-license-pending,review-required,"needs-fields:dependencies,limitations,license",源码存在待回归,,Full integration regression is pending,requirements.md:9.3; CODE/examples/integrated_demo/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
EX-026,camera_face_detect_demo,standalone,publish-with-limitations,True,camera_face_detect_demo,True,laiwfs300,esp32s3,5.5.4,none-found,historical-evidence-or-pending,see-formal-status,see-formal-status,camera_hal;display_hal;driver;esp-dl;esp_driver_cam;esp_driver_ledc;esp_timer;human_face_detect;laiwfs300,0,root-license-pending,review-required,"needs-fields:dependencies,license",已验证,2026-07-27,ESP-DL dependency and notices require final review,requirements.md:9.3; CODE/examples/camera_face_detect_demo/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
EX-027,camera_face_servo_expression_demo,missing,unavailable,False,,False,laiwfs300,esp32s3,5.5.4,none-found,not-applicable,see-formal-status,see-formal-status,,0,root-license-pending,no-static-hit-in-s0-scan,missing-source,目录缺失,2026-07-27,Not present in the current workspace,requirements.md:9.3; CODE/examples/camera_face_servo_expression_demo/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
EX-028,codex_task_notifier_demo,standalone,hold,True,codex_task_notifier_demo,True,laiwfs300,esp32s3,5.5.4,present,historical-evidence-or-pending,see-formal-status,see-formal-status,display_hal;esp_http_client;esp_netif;esp_timer;esp_wifi;laiwfs300;lvgl;nvs_flash;touch_hal,1,pending-binary-review,review-required,fields-present,部分验证,2026-07-30,"Held for configuration, host integration, and audio asset review",requirements.md:9.3; CODE/examples/codex_task_notifier_demo/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
EX-029,touch_2048_demo,standalone,publish-with-limitations,True,touch_2048_demo,True,laiwfs300,esp32s3,5.5.4,present,historical-evidence-or-pending,see-formal-status,see-formal-status,display_hal;esp_timer;laiwfs300;launcher_return;lvgl;nvs_flash;touch_hal,0,root-license-pending,review-required,"needs-fields:hardware,limitations",开发中,2026-07-30,MIT upstream notices must remain traceable,requirements.md:9.3; CODE/examples/touch_2048_demo/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
EX-030,mp3_demo,standalone,hold,True,mp3_demo,True,laiwfs300,esp32s3,5.5.4,present,historical-evidence-or-pending,see-formal-status,see-formal-status,bus_i2c;display_hal;esp_audio_render;esp_codec_dev;esp_driver_i2s;esp_new_jpeg;esp_player;esp_timer;gmf_audio;gmf_core;gmf_io;io_expander;laiwfs300;lvgl;media_lib_sal;nvs_flash;storage_hal;touch_hal,1,pending-binary-review,review-required,"needs-fields:hardware,limitations",首轮实机联调,2026-07-31,Media inputs and full hardware behavior remain unverified,requirements.md:9.3; CODE/examples/mp3_demo/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
EX-031,audio_ofdm_text_demo,standalone,hold,True,audio_ofdm_text_demo,True,laiwfs300,esp32s3,5.5.4,present,historical-evidence-or-pending,see-formal-status,see-formal-status,bus_i2c;display_hal;esp_codec_dev;esp_driver_i2s;esp_driver_uart;esp_timer;io_expander;kissfft;laiwfs300;libcorrect;lvgl;touch_hal,1,pending-binary-review,review-required,"needs-fields:hardware,dependencies,limitations",双板联调中,2026-08-04,Audio asset/source review and new profile validation are pending,requirements.md:9.3; CODE/examples/audio_ofdm_text_demo/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
EX-032,merit_plus_one_demo,archive,archive,True,,False,laiwfs300,esp32s3,5.5.4,none-found,not-applicable,see-formal-status,see-formal-status,,9,pending-binary-review,review-required,"needs-fields:limitations,license",已归档,2026-08-04,Not independently buildable or flashable,requirements.md:9.3; CODE/examples/merit_plus_one_demo/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
EX-033,audio_aec_ns_compare_demo,missing,unavailable,False,,False,laiwfs300,esp32s3,5.5.4,none-found,not-applicable,see-formal-status,see-formal-status,,0,root-license-pending,no-static-hit-in-s0-scan,missing-source,目录缺失,2026-08-07,Formal entry exists but the directory is absent,requirements.md:9.3; CODE/examples/audio_aec_ns_compare_demo/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
EX-034,holocubic_demo,standalone,hold,True,holocubic_demo,True,laiwfs300,esp32s3,5.5.4,present,historical-evidence-or-pending,see-formal-status,see-formal-status,aip8563_rtc;bmi260_imu;display_hal;esp-dsp;esp-sr;esp_http_client;esp_partition;esp_timer;laiwfs300;lwip;mbedtls;network_manager;nvs_flash;touch_hal,58,pending-binary-review,review-required,needs-fields:limitations,实现完成待回归,2026-08-15,Large image/font asset set requires licensing review,requirements.md:9.3; CODE/examples/holocubic_demo/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
EX-035,rc_tank_demo,dual-role,hold,True,rc_tank_demo,True,laiwfs300,esp32s3,5.5.4,none-found,historical-evidence-or-pending,see-formal-status,see-formal-status,audio_processor;camera_hal;display_hal;driver;es7210_adc;es8311_codec;esp_adc;esp_driver_cam;esp_driver_gpio;esp_driver_i2s;esp_event;esp_hw_support;esp_mm;esp_netif;esp_timer;esp_wifi;laiwfs300;nvs_flash;robot_motion,0,root-license-pending,review-required,"needs-fields:hardware,dependencies,license",部分功能人工通过,2026-08-27,"Held for credential sanitization, history removal, and remaining validation",requirements.md:9.3; CODE/examples/rc_tank_demo/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
